txn_reference,trade_date,client_name,direction,quantity,gross_amount,currency,status
TXN-20260717-002920,2026-07-17,Neptune Securities 922,BUY,92837.6370,4882985.81,USD,settled
TXN-20260717-010950,2026-07-17,Neptune Securities 952,BUY,60768.0525,2629728.53,USD,settled
TXN-20260717-005840,2026-07-17,Atlas Investments 842,BUY,93661.5880,133903.40,USD,settled
TXN-20260717-011680,2026-07-17,Neptune Securities 682,BUY,38099.4477,4577147.99,USD,settled
TXN-20260717-000730,2026-07-17,Cascade Insurance 732,BUY,23272.9104,3313763.36,USD,settled
TXN-20260717-012410,2026-07-17,Neptune Securities 412,BUY,68059.7518,3395821.27,USD,settled
TXN-20260717-006570,2026-07-17,Atlas Investments 572,BUY,7276.8844,1494518.96,USD,settled
TXN-20260717-013140,2026-07-17,Neptune Securities 142,BUY,49678.4584,2614465.16,USD,settled
TXN-20260717-003650,2026-07-17,Neptune Securities 652,BUY,78619.4632,3025439.83,USD,settled
TXN-20260717-013870,2026-07-17,Atlas Investments 872,BUY,4169.8702,4905425.81,USD,settled
TXN-20260717-007300,2026-07-17,Atlas Investments 302,BUY,81300.8570,2505945.43,USD,settled
TXN-20260717-014600,2026-07-17,Atlas Investments 602,BUY,66421.0117,2319390.93,USD,settled
TXN-20260717-002190,2026-07-17,Cascade Insurance 192,BUY,96424.1611,954111.23,USD,settled
TXN-20260717-015330,2026-07-17,Atlas Investments 332,BUY,80635.0879,1619163.22,USD,settled
TXN-20260717-008030,2026-07-17,Atlas Investments 32,BUY,61775.3356,4827895.56,USD,settled
TXN-20260717-016060,2026-07-17,Atlas Investments 62,BUY,73865.1404,3125430.09,USD,settled
TXN-20260717-004380,2026-07-17,Neptune Securities 382,BUY,21634.7509,3280510.38,USD,settled
TXN-20260717-016790,2026-07-17,Cascade Insurance 792,BUY,506.9210,2986301.33,USD,settled
TXN-20260717-008760,2026-07-17,Cascade Insurance 762,BUY,15755.1185,4844476.89,USD,settled
TXN-20260717-017520,2026-07-17,Cascade Insurance 522,BUY,86117.2549,1188043.82,USD,settled
TXN-20260717-001460,2026-07-17,Cascade Insurance 462,BUY,47202.9692,3937085.98,USD,settled
TXN-20260717-018250,2026-07-17,Cascade Insurance 252,BUY,1300.8563,1809191.01,USD,settled
TXN-20260717-009490,2026-07-17,Cascade Insurance 492,BUY,50191.7979,4124038.72,USD,settled
TXN-20260717-018980,2026-07-17,Neptune Securities 982,BUY,70213.1177,3228404.99,USD,settled
TXN-20260717-005110,2026-07-17,Neptune Securities 112,BUY,55867.6795,2250016.81,USD,settled
TXN-20260717-019710,2026-07-17,Neptune Securities 712,BUY,13357.0784,2396414.51,USD,settled
TXN-20260717-010220,2026-07-17,Cascade Insurance 222,BUY,31462.1872,2492869.46,USD,settled
TXN-20260716-000001,2026-07-16,Orion Fund 3,SELL,19155.7439,2374755.54,EUR,settled
TXN-20260716-019711,2026-07-16,Jupiter Wealth 713,SELL,47886.4519,3822853.98,EUR,settled
TXN-20260716-000731,2026-07-16,Solaris Pension 733,SELL,15064.6655,415328.37,EUR,settled
TXN-20260716-001461,2026-07-16,Solaris Pension 463,SELL,65492.5600,1478233.16,EUR,settled
TXN-20260716-002191,2026-07-16,Solaris Pension 193,SELL,35674.2970,1139331.21,EUR,settled
TXN-20260716-002921,2026-07-16,Jupiter Wealth 923,SELL,42537.2139,4278609.36,EUR,settled
TXN-20260716-003651,2026-07-16,Jupiter Wealth 653,SELL,8475.2540,521029.03,EUR,settled
TXN-20260716-004381,2026-07-16,Jupiter Wealth 383,SELL,10371.0814,3429487.79,EUR,settled
TXN-20260716-005111,2026-07-16,Jupiter Wealth 113,SELL,51981.2884,4979594.52,EUR,settled
TXN-20260716-005841,2026-07-16,Orion Fund 843,SELL,5760.5655,804035.41,EUR,settled
TXN-20260716-006571,2026-07-16,Orion Fund 573,SELL,630.5158,2387934.42,EUR,settled
TXN-20260716-007301,2026-07-16,Orion Fund 303,SELL,41354.4366,796456.36,EUR,settled
TXN-20260716-008031,2026-07-16,Orion Fund 33,SELL,97655.7196,3552927.97,EUR,settled
TXN-20260716-008761,2026-07-16,Solaris Pension 763,SELL,33040.1510,391913.79,EUR,settled
TXN-20260716-009491,2026-07-16,Solaris Pension 493,SELL,83792.7663,2229670.42,EUR,settled
TXN-20260716-010221,2026-07-16,Solaris Pension 223,SELL,13196.7662,4436511.94,EUR,settled
TXN-20260716-010951,2026-07-16,Jupiter Wealth 953,SELL,23322.6117,4385755.43,EUR,settled
TXN-20260716-011681,2026-07-16,Jupiter Wealth 683,SELL,90984.5321,2560770.63,EUR,settled
TXN-20260716-012411,2026-07-16,Jupiter Wealth 413,SELL,69971.7211,3718856.79,EUR,settled
TXN-20260716-013141,2026-07-16,Jupiter Wealth 143,SELL,66486.4162,2735551.77,EUR,settled
TXN-20260716-013871,2026-07-16,Orion Fund 873,SELL,74442.4967,3144231.50,EUR,settled
TXN-20260716-014601,2026-07-16,Orion Fund 603,SELL,83099.2932,585636.00,EUR,settled
TXN-20260716-015331,2026-07-16,Orion Fund 333,SELL,90721.7349,3970157.87,EUR,settled
TXN-20260716-016061,2026-07-16,Orion Fund 63,SELL,75068.4598,1092966.16,EUR,settled
TXN-20260716-016791,2026-07-16,Solaris Pension 793,SELL,6424.8073,3312169.34,EUR,settled
TXN-20260716-017521,2026-07-16,Solaris Pension 523,SELL,55833.1128,179837.23,EUR,settled
TXN-20260716-018251,2026-07-16,Solaris Pension 253,SELL,77130.4356,4100974.97,EUR,settled
TXN-20260716-018981,2026-07-16,Jupiter Wealth 983,SELL,30918.4565,1535267.70,EUR,settled
